"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"5/16/2024 1 p.m. CDT",31196,30898,33207,2011
SOCO,"5/16/2024 2 p.m. CDT",32657,32346,35018,2361
SOCO,"5/16/2024 3 p.m. CDT",33720,33362,36053,2333
SOCO,"5/16/2024 4 p.m. CDT",34704,34312,37453,2749
SOCO,"5/16/2024 5 p.m. CDT",34930,34606,37572,2642
SOCO,"5/16/2024 6 p.m. CDT",34332,34088,37006,2674
SOCO,"5/16/2024 7 p.m. CDT",33217,33031,35875,2658
SOCO,"5/16/2024 8 p.m. CDT",31749,31572,34152,2403
SOCO,"5/16/2024 9 p.m. CDT",30544,30400,33031,2487
SOCO,"5/16/2024 10 p.m. CDT",28450,28059,30518,2068
SOCO,"5/16/2024 11 p.m. CDT",26240,25659,27085,845
SOCO,"5/17/2024 12 a.m. CDT",24607,23777,25435,828
SOCO,"5/17/2024 1 a.m. CDT",23710,22295,24980,1270
SOCO,"5/17/2024 2 a.m. CDT",22631,21247,23789,1158
SOCO,"5/17/2024 3 a.m. CDT",22086,20700,23366,1280
SOCO,"5/17/2024 4 a.m. CDT",21927,20527,23269,1342
SOCO,"5/17/2024 5 a.m. CDT",22412,21016,23616,1204
SOCO,"5/17/2024 6 a.m. CDT",23424,22388,24547,1123
